date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:43	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Dec%202016%2015:50:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://arvixe.webdgallery.com/demo/)
14:07:58	165548/165548	---M--	200	added ('OK')	x-font/ttf	date:Thu,%2022%20Dec%202016%2015:50:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from http://arvixe.webdgallery.com/demo/)
14:08:05	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2019%20Aug%202016%2013:37:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://arvixe.webdgallery.com/demo/vendor/bootstrap/css/bootstrap.min.css)
14:08:30	326546/326546	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Apr%202017%2019:43:24%20GMT	http://arvixe.webdgallery.com/demo/img/meeting.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/meeting.jpg	(from http://arvixe.webdgallery.com/demo/)
14:08:35	388441/388441	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jan%202017%2017:20:06%20GMT	http://arvixe.webdgallery.com/demo/img/testimonial_bg.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/testimonial_bg.jpg	(from http://arvixe.webdgallery.com/demo/)
14:08:50	769585/769585	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Apr%202017%2019:37:08%20GMT	http://arvixe.webdgallery.com/demo/img/calltoaction_bg.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/calltoaction_bg.jpg	(from http://arvixe.webdgallery.com/demo/)
14:09:09	1412853/1412853	UR-M--	200	added ('Partial%20Content')	image/jpeg	date:Tue,%2011%20Apr%202017%2016:29:48%20GMT	http://arvixe.webdgallery.com/demo/img/slider_image-1.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/slider_image-1.jpg	(from http://arvixe.webdgallery.com/demo/)
14:09:26	1324487/1324487	UR-M--	200	added ('Partial%20Content')	image/png	date:Sun,%2026%20Mar%202017%2021:17:28%20GMT	http://arvixe.webdgallery.com/demo/img/feature_images.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/feature_images.png	(from http://arvixe.webdgallery.com/demo/)
14:09:29	20127/20127	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	date:Fri,%2019%20Aug%202016%2013:37:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://arvixe.webdgallery.com/demo/vendor/bootstrap/css/bootstrap.min.css)
14:09:29	18028/18028	---M--	200	added ('OK')	application/font-woff2	date:Fri,%2019%20Aug%202016%2013:37:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://arvixe.webdgallery.com/demo/vendor/bootstrap/css/bootstrap.min.css)
14:09:29	0/0	---M--	500	error ('')			http://arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.video.play.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.video.play.html	(from http://arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.carousel.css)
14:09:29	0/0	---M--	500	error ('')			http://arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.video.play.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.video.play.html	(from http://arvixe.webdgallery.com/demo/vendor/owl.carousel/assets/owl.carousel.css)
